area,n_units,mi_mean,mi_sem,frac_sig,mi_mean_original,mi_sem_original
LGd,42,-0.2532643493753622,0.04292807136101994,0.7619047619047619,-0.2462852443238855,0.0422759942290617
VISp,44,-0.19958089889651875,0.05414054644351838,0.5909090909090909,-0.2395499337297809,0.0445262085280538
VISl,40,-0.10510112232795561,0.06200913068403643,0.45,-0.1926998728017691,0.037535616546432
VISal,42,-0.05335667615760179,0.05394416660912829,0.6428571428571429,-0.0770428185998062,0.0510851419159466
VISrl,18,-0.27785431692898077,0.08822402574370633,0.7222222222222222,-0.2644925548998467,0.0626856415303598
VISpm,39,-0.13995001037291022,0.06252037561191835,0.6666666666666666,-0.2047503172273977,0.0529275957607694
VISam,32,-0.20753809831809403,0.05338584955895785,0.46875,-0.2245840903861196,0.0530215830190144
CA1,42,-0.03924809450369315,0.07323676998501061,0.7380952380952381,-0.110866482752906,0.0701825257607533
DG,37,0.14877175795969588,0.07193695774962795,0.4594594594594595,0.1071886911231623,0.0707912227604955
SCig,41,0.17911677505778664,0.05475440984368404,0.6341463414634146,0.1702478859541108,0.0462749273383597
MRN,28,-0.06782876070180072,0.08692092995030877,0.7857142857142857,-0.069994803168406,0.0797797123516904
,24,0.02878286557809916,0.08421239176285616,0.625,,
,13,-0.116665628930797,0.1196015210505771,0.5384615384615384,,
