area,n_units,ratio_old,ratio_strict,ratio_miss_only,peak_change_strict_hz,peak_change_miss_hz
LGd,42,1.4312388374736147,1.9851368089179153,2.5090060040026674,12.345938375350132,19.46687370600413
VISp,44,1.650013027618551,2.665018411362441,2.3991769547325097,16.932486631016044,20.163043478260867
VISl,40,1.6170955515659284,2.6853830227743276,2.860438292964246,23.842647058823523,26.95652173913044
VISal,42,1.277240348254331,1.988975623116954,1.9251881363435146,20.341036414565828,22.510351966873706
VISrl,18,1.6328911815278802,2.669142742421201,2.615671641791046,21.723856209150327,25.398550724637683
VISpm,39,1.9882119205298026,4.805057618437899,4.489999999999999,11.320512820512821,12.513935340022295
VISam,32,3.0042149631190775,2.6300738007380096,2.163776493256262,5.240808823529414,7.6290760869565215
CA1,42,1.3531777956556728,0.9396648044692746,0.636824324324324,1.177871148459384,1.9513457556935814
DG,37,1.9597560975609774,1.0034342803621588,0.8053221288515404,2.5548489666136707,3.378378378378377
SCig,41,4.083333333333342,,1.9827160493827145,4.042324246771882,4.2576882290562015
MRN,28,2.665813424345847,4.396341463414635,4.073122529644267,9.845588235294123,16.001552795031056
,13,5.422535211267613,,1.8609022556390986,6.968325791855207,8.277591973244146
,24,1.1193798449612373,0.7991145545102368,2.0547445255474415,1.7696078431372513,5.0996376811594235
