area,n_units,full_r2_mean,full_r2_sem,full_r2_frac_pos,running_mean,pupil_mean,face_svd_mean,saccade_mean
LGd,42,-0.024175136139438974,0.0077298129787553215,0.14285714285714285,0.004755458295611399,0.0036690594251489357,0.0005315774247892911,0.0008204877598299866
VISp,44,-0.020422254022626228,0.014536050180422743,0.38636363636363635,0.0057269284364090045,0.005557323292702098,-0.0018001987045863643,8.374781067356129e-05
VISl,40,-0.011507158952008467,0.0057387960612989035,0.325,0.005536661484802608,0.005533779883990064,-0.0010119676910107956,0.0003411524950934108
VISal,42,-0.005943962177428018,0.0033098429678148386,0.38095238095238093,0.007584898890594819,0.003189654390250022,-0.0030785702429490074,0.0006205184701164919
VISrl,18,-0.02559514337271038,0.011919436995355932,0.2777777777777778,0.004704927676357329,-0.0006552389822900295,0.002197240550433182,0.0012282922398298979
VISpm,39,-0.024241680620877722,0.01258921057546221,0.1794871794871795,0.004100849595255194,0.0021453127175426255,-0.002162506409849112,0.0007035166129823595
VISam,32,-0.02015609031150234,0.005442859372503033,0.125,0.0029454829927999526,0.00044399718899512663,-0.0016879711401998065,0.00047896629621391185
CA1,42,-0.030396290836506523,0.010898665564340663,0.07142857142857142,0.003179599309251422,-0.000842198692095865,-0.0022108581061253234,0.00041628256717341996
DG,37,-0.06498199935398392,0.028813306404385838,0.08108108108108109,0.0008085309905377595,-0.007693028772828748,0.004928102150458742,0.0006100912641331151
SCig,41,0.029257608355603624,0.012586799404471627,0.8048780487804879,0.021789206331027898,0.004074410698660536,-0.0025808153980661458,0.016569214410193992
MRN,28,-0.02272946895599099,0.05295612003142341,0.5,0.03525436425115913,0.007501375682685258,0.0051166523647095475,0.009382321524234223
,24,-0.09005069563863799,0.029808557925884768,0.08333333333333333,0.0010324845012898247,-0.00601087049775136,-0.00011941083357669413,0.00038742639784080285
,13,0.039689392496186957,0.022954860172606617,0.5384615384615384,0.018168618651823357,0.004348643553944735,-0.006530052319598885,0.028863628323261555
