area,n_units,full_r2_mean,full_r2_sem,full_r2_frac_pos,running_mean,pupil_mean,face_svd_mean,saccade_mean
LGd,42,-0.02377483115387371,0.007744774065744245,0.14285714285714285,0.00495487556881493,0.003655178976866106,0.0007126136472271312,0.0008182435468327077
VISp,44,-0.020271238053365694,0.014916773139356413,0.4090909090909091,0.005683081822512163,0.005538850919534029,-0.001592810146658766,0.00011724294877653433
VISl,40,-0.010843367777852109,0.005764651529508202,0.4,0.005946202838094905,0.005430747068021447,-0.0007105531985871494,0.00036217701199348085
VISal,42,-0.005296884606997039,0.0033728934603206237,0.42857142857142855,0.007947756509695734,0.0031058202702773825,-0.002830148170081278,0.0006090021148944894
VISrl,18,-0.024919843456397455,0.011911644927340623,0.2777777777777778,0.005223735959993469,-0.0006803333655827575,0.0023036785747131538,0.001228639584345122
VISpm,39,-0.02406051898474405,0.01261641875317473,0.20512820512820512,0.004056132004524653,0.002133525105026097,-0.001929566419372956,0.0007033101180404162
VISam,32,-0.01982211748327245,0.005469488027154935,0.125,0.003038615162950009,0.0004276530507922871,-0.0014461601713264827,0.0004933816271659452
CA1,42,-0.03016654231441862,0.010905657125086357,0.07142857142857142,0.0031762670204486874,-0.0008339014117761204,-0.0019954816283037267,0.00043188800918869674
DG,37,-0.06464671903931712,0.02876427323660555,0.08108108108108109,0.0007991311014504046,-0.0076567406162015485,0.005257498784418646,0.0006485559625198712
SCig,41,0.030083172216375426,0.012579906502655232,0.8048780487804879,0.022426267739430798,0.004047023953029477,-0.0023710991982824918,0.016477279038531932
MRN,28,-0.020117978538369892,0.05292861187154295,0.5,0.03767558501151923,0.00786416529237093,0.005132648865193394,0.009303270602166387
,24,-0.08973558214105044,0.029787949330413396,0.08333333333333333,0.0010155706744020183,-0.006003437272738665,0.00017279149809231362,0.0004328908301734676
,13,0.03991926400564038,0.023244516440720567,0.5384615384615384,0.018088849297223184,0.004469149871371114,-0.006338468985632062,0.02884304727642582
